id,category,name,brand,price,ability
1,clothing,Airflow_&_Hustle_Jacket,Forge,11300,Intensify_Action
2,clothing,Aloha_Shirt,Forge,700,Ink_Recovery_Up
3,clothing,Anchor_Life_Vest,Grizzco,0,Quick_Respawn
4,clothing,Anchor_Sweat,SquidForce,2800,Intensify_Action
5,clothing,Annaki_Anchored_Coat,Annaki,12000,Special_Saver
6,clothing,Annaki_Blue_Cuff,Annaki,4800,Special_Saver
7,clothing,Annaki_Bracelet_Tee,Annaki,8000,Haunt
8,clothing,Annaki_Choker_Tee,Annaki,4000,Special_Power_Up
9,clothing,Annaki_Drive_Tee,Annaki,5500,Thermal_Ink
10,clothing,Annaki_Flannel_Hoodie,Annaki,9999,Sub_Resistance_Up
11,clothing,Annaki_Polpo-Pic_Tank,Annaki,6660,Run_Speed_Up
12,clothing,Apex_Sweater,Krak-On,9600,Thermal_Ink
13,clothing,Apple_Ringer,Zink,1000,Sub_Power_Up
14,clothing,Arctic_Monster_Parka,Barazushi,12000,Sub_Power_Up
15,clothing,Armor_Jacket_Replica,Cuttlegear,0,Special_Charge_Up
16,clothing,Astro_Wear,Grizzco,0,Random
17,clothing,B-ball_Jersey_(Away),Zink,800,Ink_Saver_(Sub)
18,clothing,B-ball_Jersey_(Home),Zink,2300,Special_Saver
19,clothing,Baby-Jelly_Shirt,Splash_Mob,1350,Sub_Resistance_Up
20,clothing,Barazushi_Anorak,Barazushi,5200,Special_Power_Up
21,clothing,Barazushi_Black_Tee,Barazushi,720,Ink_Resistance_Up
22,clothing,Barazushi_Rice_Tee,Barazushi,720,Haunt
23,clothing,Barazushi_Sakura_Tee,Barazushi,1200,Sub_Resistance_Up
24,clothing,Barazushi_Tuff_Duffel,Barazushi,12000,Ink_Resistance_Up
25,clothing,Barazushi_Wrap,Barazushi,7200,Ink_Saver_(Main)
26,clothing,Base_White_Button_Up,Splash_Mob,9999,Thermal_Ink
27,clothing,Baseball_Jersey,Firefin,10000,Special_Charge_Up
28,clothing,Basic_Tee,SquidForce,300,Quick_Respawn
29,clothing,Berry_BlobMob_Tee,Emberz,1050,Run_Speed_Up
30,clothing,Berry_Ski_Jacket,Inkline,3900,Special_Power_Up
31,clothing,Black_8-Bit_FishFry,Firefin,600,Sub_Resistance_Up
32,clothing,Black_Anchor_Tee,SquidForce,2800,Respawn_Punisher
33,clothing,Black_Baseball_LS,Rockenberg,800,Swim_Speed_Up
34,clothing,Black_Inky_Rider,Rockenberg,12100,Sub_Power_Up
35,clothing,Black_Layered_LS,SquidForce,500,Ink_Saver_(Main)
36,clothing,Black_LS,Zekko,3000,Quick_Super_Jump
37,clothing,Black_Polo,Zekko,500,Ninja_Squid
38,clothing,Black_Ranger_Vest,Inkline,6000,Special_Charge_Up
39,clothing,Black_Squideye,Tentatek,500,Run_Speed_Up
40,clothing,Black_Tee,SquidForce,400,Special_Power_Up
41,clothing,Black-Belt_Gi,amiibo,0,Haunt
42,clothing,Blue_Peaks_Tee,Inkline,400,Ink_Saver_(Sub)
