id,category,name,brand,price,ability
1,headgear,18K_Aviators,Rockenberg,12000,Last-Ditch_Effort
2,headgear,360_All-Scopes,Grizzco,0,Random
3,headgear,Air_Gills_DX,SquidForce,825,Tenacity
4,headgear,Annaki_Beret,Annaki,11500,Ink_Resistance_Up
5,headgear,Annaki_Beret_&_Glasses,Annaki,7850,Ink_Saver_(Main)
6,headgear,Annaki_Charms,Annaki,777,Swim_Speed_Up
7,headgear,Annaki_Mask,Annaki,3600,Opening_Gambit
8,headgear,Armor_Helmet_Replica,Cuttlegear,0,Tenacity
9,headgear,Astro_Helm,Grizzco,0,Random
10,headgear,B-ball_Headband,Zink,300,Opening_Gambit
11,headgear,Backward_Cap,Zekko,700,Quick_Respawn
12,headgear,Bamboo_Hat,Inkline,2200,Ink_Saver_(Main)
13,headgear,Barrelfish_Home_Helmet,Forge,3500,Run_Speed_Up
14,headgear,Beachcomber,Inkline,8900,Opening_Gambit
15,headgear,Bike_Helmet,Skalop,4800,Ink_Recovery_Up
16,headgear,Black_Arrowbands,Zekko,2800,Tenacity
17,headgear,BlobMob_Mask,Emberz,825,Tenacity
18,headgear,Blowfish_Bell_Hat,Firefin,850,Ink_Recovery_Up
19,headgear,Bobble_Hat,Splash_Mob,2000,Quick_Super_Jump
20,headgear,Boss_Floss,amiibo,0,Intensify_Action
21,headgear,Brain_Strainer,Grizzco,0,Random
22,headgear,Bream-Brim_Cap,Grizzco,0,Random
23,headgear,Bucket_Hat,SquidForce,400,Special_Saver
24,headgear,Camo_Mesh,Firefin,1400,Swim_Speed_Up
25,headgear,Cap'n_Cap,Splash_Mob,10500,Quick_Respawn
26,headgear,Camping_Hat,Inkline,800,Special_Power_Up
27,headgear,Cephalo_Pods,Forge,1980,Ink_Recovery_Up
28,headgear,Chaos_Helm,amiibo,0,Special_Power_Up
29,headgear,Classic_Bowler,Splash_Mob,3000,Run_Speed_Up
30,headgear,Classic_Straw_Boater,Skalop,1500,Special_Power_Up
31,headgear,Commander_Cap,Grizzco,0,Random
32,headgear,Crust_Bucket_Visor,SquidForce,1200,Quick_Super_Jump
33,headgear,Cycle_King_Cap,Tentatek,2400,Sub_Resistance_Up
34,headgear,Cycling_Cap,Zink, 800,Sub_Power_Up
35,headgear,Deep_Sinker_Helm,Grizzco,0,Random
36,headgear,Designer_Headphones,Forge,2500,Ink_Saver_(Sub)
37,headgear,"Do-Rag,_Cap_&_Glasses",Skalop,9500,Intensify_Action
38,headgear,Double_Egg_Shades,Zekko,2200,Run_Speed_Up
39,headgear,Dust_Blocker_2000,Grizzco,0,Sub_Resistance_Up
40,headgear,Dustcloud_Cap,Z+F,7800,Run_Speed_Up
41,headgear,Dustcloud_'Phones,Z+F,2500,Ink_Recovery_Up
42,headgear,Enchanted_Hat,amiibo,0,Ink_Saver_(Main)
43,headgear,Face_Visor,Toni_Kensa,10300,Sub_Resistance_Up
44,headgear,Fake_Contacts,Tentatek,2000,Special_Charge_Up
45,headgear,Firefin_Facemask,Firefin,650,Run_Speed_Up
46,headgear,FishFry_Biscuit_Bandana,Firefin,1250,Special_Power_Up
47,headgear,FishFry_Visor,Firefin,500,Special_Charge_Up
48,headgear,Five-Alarm_Helmet,Grizzco,0,Random
49,headgear,Five-Panel_Cap,Zekko,1800,Comeback
50,headgear,Forge_Mask,Forge,1400,Intensify_Action
51,headgear,Fresh_Fish_Head,amiibo,0,Comeback
52,headgear,Full-Moon_Glasses,Krak-On,600,Quick_Super_Jump
53,headgear,Gas_Mask,Forge,11000,Tenacity
54,headgear,Glam_Clam_Specs,Splash_Mob,10000,Special_Saver
55,headgear,Glassless_Glasses,Toni_Kensa,11000,Quick_Respawn
56,headgear,Golf_Visor,Zink,400,Run_Speed_Up
57,headgear,Half-Rim_Glasses,Splash_Mob,4100,Special_Power_Up
58,headgear,Hat-Trick_Bell_Hat,Z+F,9333,Ink_Resistance_Up
59,headgear,Headlamp_Helmet,Grizzco,0,Special_Power_Up
60,headgear,Hero_Headset_Replica,Cuttlegear,0,Run_Speed_Up
61,headgear,Hero_Mindset_Replica,Cuttlegear,0,Sub_Power_Up
62,headgear,Hickory_Work_Cap,Krak-On,8700,Special_Power_Up
63,headgear,Hipster_Horn-Rims,Splash_Mob,11200,Sub_Resistance_Up
64,headgear,Hockey_Helmet,Forge,9900,Intensify_Action
65,headgear,Home-Team_Catcher,Forge,1960,Ink_Resistance_Up
66,headgear,House-Tag_Denim_Cap,Splash_Mob,5200,Special_Charge_Up
67,headgear,Howdy_Hat,Rockenberg,13000,Sub_Resistance_Up
68,headgear,Ink-Black_Flap_Cap,Barazushi,11200,Special_Power_Up
69,headgear,Ink-Tinted_Goggles,Emberz,10500,Swim_Speed_Up
70,headgear,Invisifloats,Inkline,2780,Comeback
